PAI;PNCSL;BIN;BING;BDAE;MTK;SJRH;IPAS;PJOK;INF;SNRP;KEJUR
82;91;85;75;85;80;88;80;90;80;87;80
70;80;60;60;70;75;85;60;85;75;70;75
82;91;72;80;85;85;86;78;90;82;85;80
80;91;70;70;82;75;75;73;90;80;75;81
83;91;75;85;85;80;87;78;85;84;80;83
83;91;75;75;86;80;85;78;90;80;75;84
90;91;83;70;86;85;88;79;90;81;87;80
82;85;75;85;85;75;80;72;90;85;80;81
65;80;60;60;70;60;75;60;85;75;70;75
83;91;85;75;85;80;88;82;90;80;88;80
80;85;72;70;85;77;85;75;90;85;78;81
84;91;80;85;87;80;89;78;90;83;80;85
85;85;70;60;84;75;83;60;75;79;73;79
87;91;83;85;85;85;88;82;90;86;90;84
83;91;78;80;86;85;87;80;90;84;85;81
82;91;78;87;85;80;88;80;90;81;85;81
82;91;80;75;85;85;86;82;90;80;84;80
84;91;87;85;87;87;89;80;90;82;87;82
82;91;78;75;86;77;82;78;90;80;82;83
80;91;70;70;84;75;75;60;85;80;76;79
80;91;80;87;86;77;83;75;90;87;80;86
80;80;70;60;84;65;75;60;90;80;75;75
80;85;70;70;85;77;78;78;90;79;78;80
92;91;75;70;85;80;89;84;90;80;80;80
80;91;85;75;86;85;89;77;90;80;88;80
84;91;70;70;84;85;75;78;90;83;75;80
83;91;83;75;86;80;88;80;90;83;87;81
82;91;83;75;86;77;89;80;90;84;87;80
86;91;85;80;87;80;89;78;90;87;90;84
82;91;80;80;87;85;88;82;90;85;88;82
84;91;80;80;87;85;89;82;90;83;90;84
80;85;60;70;70;72;75;60;85;79;75;79
83;91;87;85;88;80;89;82;90;84;90;85
83;91;83;85;87;85;89;78;90;86;89;87
82;91;75;80;86;77;86;78;90;81;80;87
